"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LAMP2",0,1.94029824135866,1,0.486,0,"1","LAMP2"
"PIP4K2A",0,1.93498705885653,0.996,0.408,0,"1","PIP4K2A"
"QKI",0,1.93431767607249,1,0.664,0,"1","QKI"
"CNDP1",0,1.92729472170614,0.944,0.22,0,"1","CNDP1"
"PDE1C",0,1.91922504498408,0.941,0.23,0,"1","PDE1C"
"DPYSL2",0,1.90962224572542,0.999,0.512,0,"1","DPYSL2"
"PMP22",0,1.90355591020195,0.975,0.306,0,"1","PMP22"
"RAPGEF5",0,1.90014824599648,0.923,0.223,0,"1","RAPGEF5"
"NECAB1",0,1.86622160523705,0.936,0.243,0,"1","NECAB1"
"SLC24A2",0,1.86278568454857,0.942,0.25,0,"1","SLC24A2"
"SEPT7",0,1.8559034501884,0.997,0.559,0,"1","SEPT7"
"RGCC",0,1.854281491569,0.989,0.286,0,"1","RGCC"
"SELENOP",0,1.85326929164002,0.992,0.463,0,"1","SELENOP"
"SYT11",0,1.84915517566107,0.979,0.346,0,"1","SYT11"
"CREB5",0,1.83468353029267,0.957,0.261,0,"1","CREB5"
"SECISBP2L",0,1.82857930770802,0.968,0.361,0,"1","SECISBP2L"
"MAP7",0,1.82775545386032,0.919,0.267,0,"1","MAP7"
